,Unnamed: 0,time,value
0,0,2019-03-13T15:45:00Z,830019327
1,1,2019-03-13T15:45:00Z,565640174197
2,2,2019-03-13T15:45:00Z,581762232
3,3,2019-03-13T15:45:00Z,66328088
4,4,2019-03-13T15:45:00Z,8124329277
5,5,2019-03-13T15:45:00Z,2109160134
6,6,2019-03-13T15:45:00Z,121480147
7,7,2019-03-13T15:45:00Z,31471230716
8,8,2019-03-13T15:45:00Z,45190358684
9,9,2019-03-13T15:45:00Z,248363193788
10,10,2019-03-13T15:45:00Z,445101662
11,11,2019-03-13T15:45:00Z,234649366
12,12,2019-03-13T15:45:00Z,49525818375
13,13,2019-03-13T15:45:00Z,34931036576
14,14,2019-03-13T15:45:00Z,211054739422
15,15,2019-03-13T15:45:00Z,315650825
16,16,2019-03-13T15:45:00Z,67531322919
17,17,2019-03-13T15:45:00Z,480814766
18,18,2019-03-13T15:45:00Z,2293018122
19,19,2019-03-13T15:45:00Z,414424881
20,20,2019-03-13T15:46:00Z,2341508583
21,21,2019-03-13T15:46:00Z,463015328
22,22,2019-03-13T15:46:00Z,36077092936
23,23,2019-03-13T15:46:00Z,598467021
24,24,2019-03-13T15:46:00Z,903240433
25,25,2019-03-13T15:46:00Z,592005569060
26,26,2019-03-13T15:46:00Z,774888697
27,27,2019-03-13T15:46:00Z,282871187
28,28,2019-03-13T15:46:00Z,2478241288
29,29,2019-03-13T15:46:00Z,9661336308
30,30,2019-03-13T15:46:00Z,606022097
31,31,2019-03-13T15:46:00Z,49643550720
32,32,2019-03-13T15:46:00Z,497635257
33,33,2019-03-13T15:46:00Z,49099527104
34,34,2019-03-13T15:46:00Z,265660930642
35,35,2019-03-13T15:46:00Z,302747879
36,36,2019-03-13T15:46:00Z,69810263047
37,37,2019-03-13T15:46:00Z,40085056819
38,38,2019-03-13T15:46:00Z,450819606
39,39,2019-03-13T15:46:00Z,215253448279
40,40,2019-03-13T15:47:00Z,628921998
41,41,2019-03-13T15:47:00Z,220935026378
42,42,2019-03-13T15:47:00Z,446081566
43,43,2019-03-13T15:47:00Z,42499293662
44,44,2019-03-13T15:47:00Z,2375443411
45,45,2019-03-13T15:47:00Z,487887476
46,46,2019-03-13T15:47:00Z,1671977693
47,47,2019-03-13T15:47:00Z,619519767
48,48,2019-03-13T15:47:00Z,621420330847
